Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Efficiency,Minutes played,Successful attacking actions per 90,Non-penalty goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Classification
D. Ajiboye,Newport County,Peterborough United,"RB, RWB",26,400000,2025-06-30,6,239,0,0.00,0,239,1.51,0,0,0,0,0
A. Richards,Exeter City,Exeter City,"CF, RW, RWF",20,0,2025-05-31,6,228,1,1.22,0.819672131,228,3.16,0.39,1.97,20,20,0
L. Jutkiewicz,Birmingham City,Birmingham City,"CF, AMF",35,250000,2025-06-30,11,227,0,0.61,0,227,0.79,0,2.38,16.67,0,0
C. Sze,Wigan Athletic,Wigan Athletic,"CF, AMF",21,0,2026-06-30,6,225,1,0.69,1.449275362,225,2.4,0.4,1.2,33.33,33.333,1
Carlos Gomes,Bolton Wanderers,Bolton Wanderers,"RWF, AMF, CF",26,300000,2026-06-30,7,224,0,0.13,0,224,1.61,0,1.21,0,0,0
R. Donovan,Birmingham City,Burton Albion,"AMF, RWF",18,0,,6,222,0,0.16,0,222,3.65,0,1.62,0,0,0
J. Graham,Leyton Orient,Leyton Orient,"RAMF, RWB, RDMF",29,250000,2025-06-30,8,219,0,0.00,0,219,4.52,0,0,0,0,0
A. Gilbert,Charlton Athletic,Charlton Athletic,"AMF, LCMF, RCMF",23,500000,2027-06-30,7,214,0,0.78,0,214,1.26,0,2.94,28.57,0,0
N. Powell,Stockport County,Stockport County,"AMF, RCMF",30,300000,2026-06-30,4,204,0,0.35,0,204,2.65,0,0.88,0,0,0
D. Lembikisa,Barnsley,Barnsley,"RWB, RB, DMF",21,3000000,2026-06-30,6,203,0,0.01,0,203,5.76,0,0.44,0,0,0
B. Tanimu,Crawley Town,Crawley Town,"RCB, RW",22,0,2026-06-30,7,192,0,0.01,0,192,2.34,0,0.47,100,0,0
C. Stewart,Shrewsbury Town,Shrewsbury Town,"CF, LAMF, AMF",23,0,2027-06-30,8,165,0,0.31,0,165,2.18,0,1.09,50,0,0
J. Wilson,Northampton Town,Northampton Town,"CF, RAMF",29,250000,2025-06-30,7,141,0,0.00,0,141,0,0,0,0,0,0
M. Forde,Burton Albion,Burton Albion,"RCMF, AMF, LCMF",,0,,4,131,0,0.00,0,131,2.06,0,0.69,0,0,0
M. Waghorn,,Northampton Town,"CF, AMF, RCMF",35,100000,,6,128,0,0.25,0,128,2.11,0,3.52,0,0,0
K. Miyoshi,Bochum,Birmingham City,RAMF,27,2000000,2028-06-30,3,120,0,0.13,0,120,1.5,0,0.75,100,0,0
M. Faal,Wrexham,Wrexham,"CF, AMF",22,0,2027-06-30,8,119,0,0.14,0,119,1.51,0,2.27,0,0,0
J. Hazlehurst,Burton Albion,Burton Albion,AMF,25,0,,2,117,0,0.01,0,117,1.54,0,0.77,0,0,0
A. Pressley,Stevenage,Stevenage,"CF, AMF",23,175000,2025-06-30,4,106,0,0.14,0,106,2.55,0,1.7,100,0,0
J. Gardner,Lincoln City,Lincoln City,"LAMF, LCMF, RAMF",19,0,,5,105,1,0.35,2.857142857,105,10.29,0.86,3.43,50,25,1
T. Nichols,Swindon Town,Mansfield Town,"AMF, CF",31,200000,2025-06-30,5,103,0,0.78,0,103,1.75,0,1.75,0,0,0
R. Oates,Mansfield Town,Mansfield Town,"CF, RW",30,125000,2025-06-30,4,101,0,0.60,0,101,5.35,0,5.35,33.33,0,0
J. Stretton,Burton Albion,Burton Albion,"CF, RWF, AMF",23,200000,2025-06-30,4,96,0,0.00,0,96,0,0,0,0,0,0
N. Dobson,Northampton Town,Northampton Town,"CF, RW, AMF",,0,,4,86,0,0.00,0,86,0,0,0,0,0,0
A. Ahmed,Reading U18,Reading,"RB, RWF",17,0,,5,85,0,0.00,0,85,3.18,0,0,0,0,0
T. Richards,Cambridge United,Cambridge United,"LCMF, AMF, RCMF",24,350000,2026-06-30,5,83,0,0.02,0,83,4.34,0,2.17,0,0,0
