Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Unnamed: 115,Fullback Attacking AFB,Attacking Label,LDA1
D. Lembikisa,Barnsley,Barnsley,"RWB, RB, DMF",21.0,3000000,2026-06-30,6,203,0,0.01,0,0.19,23.94,64.81,England,"England, Jamaica",right,180,68,yes,10.64,8.87,85.0,3.99,55.56,0.44,0.75,0.0,2.66,4.5,0.0,0,0.0,0,0.0,5.76,0.0,0,0.0,0.0,0,0.0,1,0.44,0.0,0.0,0.0,6.21,35.71,0.44,0.0,5.76,38.46,0.0,3.55,100.0,5.76,61.54,1.33,0.89,0.0,27.49,2.22,0.89,42.56,60.42,19.51,40.91,7.54,94.12,11.08,72.0,26.6,73.33,10.2,43.48,23.02,44.33,0.08,0.89,0.0,0.0,0.0,0.0,0.44,10.2,39.13,4.88,36.36,0.44,0.0,0.0,1.77,12.41,50.0,0,,0,,0,0,0,0.0,,,0.44,,,0.0,0.0,0.0,0.0,0,0.0,,18.26,1,-2.2150536404605474
E. Laird,Birmingham City,Birmingham City,"RB, RWB",23.0,2500000,2028-06-30,26,2033,2,1.15,2,1.82,25.5,50.52,England,"England, Jamaica",right,177,70,no,7.3,5.89,60.15,5.71,61.24,0.35,0.68,0.13,3.41,6.56,1.95,4,0.18,0,0.0,3.76,0.09,2,0.09,0.05,0,0.0,14,0.62,42.86,14.286,0.09,2.88,40.0,0.09,50.0,2.79,39.68,0.27,4.87,47.27,10.4,43.83,2.74,3.32,0.35,31.48,2.04,2.17,40.6,80.15,13.81,70.19,9.03,97.06,11.16,81.75,34.97,87.22,2.88,33.85,18.45,28.72,0.08,0.75,0.04,0.09,0.04,100.0,0.22,4.78,61.11,2.88,50.77,0.4,11.11,1.06,0.93,7.39,76.05,0,,0,,0,0,0,0.0,,,1.42,,,0.0,0.0,0.0,0.0,0,0.0,,13.67,1,1.4265722448024278
R. Longman,Wrexham,Wrexham,"RW, RWB, RB",24.0,2000000,2025-06-30,11,615,0,0.22,1,2.13,23.71,49.38,England,England,right,180,68,no,7.17,6.88,70.21,2.2,46.67,0.0,0.0,0.15,2.34,3.2,0.73,0,0.0,0,0.0,6.29,0.0,0,0.0,0.03,0,0.0,5,0.73,0.0,0.0,0.15,7.02,41.67,2.2,60.0,4.68,31.25,1.02,6.88,48.94,11.12,39.47,1.76,2.63,1.02,19.76,1.32,0.59,33.07,69.03,7.61,53.85,8.49,89.66,11.41,62.82,22.83,82.05,3.51,33.33,21.33,37.41,0.31,1.61,0.0,0.0,0.0,0.0,1.02,3.07,52.38,6.44,54.55,0.73,60.0,1.46,3.22,8.2,71.43,0,,0,,0,0,0,0.0,,,0.15,,,0.0,0.0,0.0,0.0,0,0.0,,17.58,1,3.1181620931886402
S. Wright,Birmingham City,Birmingham City,"RAMF, LWB",27.0,1200000,2027-06-30,13,511,1,1.18,0,0.84,19.2,39.45,Scotland,Scotland,right,176,65,no,4.58,3.7,71.43,3.52,40.0,0.35,0.69,0.0,1.59,3.1,0.53,0,0.0,0,0.0,3.17,0.18,1,0.18,0.21,0,0.0,12,2.11,16.67,8.333,0.0,3.87,22.73,1.06,33.33,2.82,18.75,0.0,4.23,45.83,9.69,32.73,2.82,2.47,1.76,25.19,2.29,1.41,33.82,71.35,8.81,62.0,8.1,84.78,8.63,71.43,28.53,79.63,1.59,33.33,15.92,15.95,0.15,1.76,0.0,0.0,0.53,0.0,0.35,3.17,61.11,4.23,58.33,0.35,0.0,1.76,0.88,6.16,68.57,0,,0,,0,0,0,0.0,,,0.18,,,0.18,0.0,0.0,0.18,0,0.0,,13.010000000000002,1,2.3954333162716357
L. Sørensen,Huddersfield Town,Huddersfield Town,"RWB, RB",25.0,700000,2027-06-30,24,1757,0,0.54,2,1.05,19.41,49.08,Denmark,Denmark,right,185,78,no,6.97,5.89,62.61,4.56,44.94,0.05,0.08,0.2,3.23,4.87,0.67,2,0.1,0,0.0,3.07,0.0,0,0.0,0.03,0,0.0,8,0.41,25.0,0.0,0.1,4.66,23.08,0.0,0.0,4.66,23.08,0.56,2.97,58.62,6.1,42.02,1.08,1.69,0.2,26.74,2.2,0.72,38.01,68.6,12.86,54.18,6.76,94.7,12.24,71.97,28.12,81.79,5.28,37.86,20.67,36.87,0.05,0.82,0.0,0.05,0.26,60.0,0.36,6.61,48.84,4.82,36.17,0.51,20.0,0.72,1.13,9.22,73.89,0,,0,,0,0,0,0.0,,,0.97,,,0.0,0.0,0.0,0.0,0,0.0,,15.780000000000001,1,0.9672524901084437
T. Small,Charlton Athletic,Charlton Athletic,"LWB, RAMF, RW",20.0,600000,2025-06-30,33,2569,2,2.3,0,3.42,18.74,43.18,England,"England, Panama",left,177,68,no,4.62,3.5,63.0,1.65,34.04,0.18,0.25,0.04,2.24,3.24,0.84,4,0.14,0,0.0,6.06,0.07,2,0.07,0.08,0,0.0,33,1.16,30.3,6.061,0.0,5.75,35.37,2.66,35.53,3.05,35.63,0.77,6.83,53.85,11.77,38.39,2.0,3.5,0.42,12.89,0.98,0.49,22.84,64.11,6.06,53.18,5.54,89.87,7.46,63.85,14.54,78.8,2.84,46.91,24.25,31.7,0.12,0.84,0.04,0.04,0.07,0.0,0.28,2.17,53.23,4.03,44.35,0.04,0.0,0.28,2.0,5.25,71.33,0,,0,,0,0,0,0.0,,,0.14,,,0.04,0.0,0.0,0.11,0,0.0,,12.9,1,1.4167598618085977
J. Dacres-Cogley,Bolton Wanderers,Bolton Wanderers,"RWB, RCB, RB",29.0,500000,2025-06-30,34,2721,0,0.06,3,1.73,20.67,51.66,England,England,right,174,68,no,9.72,8.73,60.78,3.39,43.43,0.21,0.31,0.07,4.21,6.31,1.85,5,0.17,0,0.0,2.26,0.0,0,0.0,0.0,0,0.0,4,0.14,0.0,0.0,0.1,2.43,42.25,0.21,50.0,2.22,41.54,0.27,1.98,60.34,5.61,49.39,1.3,1.68,0.31,28.03,2.02,1.33,40.69,77.21,15.47,63.94,6.33,94.05,12.05,85.51,33.71,84.67,4.69,40.88,18.93,36.72,0.06,0.62,0.03,0.07,0.07,50.0,0.34,5.34,60.9,2.84,59.04,0.41,41.67,0.96,0.99,8.79,71.6,0,,0,,0,0,0,0.0,,,0.99,,,0.0,0.0,0.0,0.14,0,0.0,,13.37,1,-0.019028404633333447
E. Galbraith,Leyton Orient,Leyton Orient,"RB, AMF",23.0,500000,2025-06-30,34,3178,5,2.26,4,3.63,16.88,46.14,Northern Ireland,Northern Ireland,right,175,67,no,6.94,6.12,59.26,2.75,41.24,0.28,0.41,0.08,3.03,4.43,1.05,6,0.17,0,0.0,1.78,0.14,5,0.14,0.06,0,0.0,25,0.71,36.0,20.0,0.11,1.16,36.59,0.28,60.0,0.88,29.03,0.14,1.78,60.32,5.04,44.38,0.85,1.9,0.34,26.85,0.93,0.91,41.26,77.9,16.45,61.96,6.77,95.4,11.61,87.8,33.67,86.63,6.51,40.0,18.76,33.58,0.1,0.91,0.03,0.08,0.11,25.0,0.42,7.96,59.43,2.38,50.0,0.65,17.39,0.91,0.37,7.59,76.49,0,,0,,0,0,0,0.0,,,0.57,,,0.28,0.03,100.0,1.13,0,0.0,,11.97,1,0.1468486712270148
J. Osei-Tutu,Bolton Wanderers,Bolton Wanderers,"LWB, RWB, LW",26.0,500000,2026-06-30,26,1333,1,1.3,1,2.78,24.51,52.07,England,"England, Ghana",right,176,70,no,8.57,6.08,75.56,2.03,16.67,0.61,1.12,0.07,3.38,6.22,0.68,7,0.47,0,0.0,5.67,0.07,1,0.07,0.09,1,0.07,16,1.08,56.25,6.25,0.07,2.77,36.59,1.76,42.31,0.95,28.57,0.27,5.87,68.97,13.91,50.0,3.31,4.05,0.95,20.46,1.22,2.97,28.22,81.1,6.68,69.7,8.64,96.09,7.56,81.25,24.24,87.74,1.49,50.0,17.39,21.15,0.19,1.28,0.07,0.0,0.0,0.0,0.61,1.49,72.73,2.3,52.94,0.14,50.0,1.22,0.81,4.46,78.79,0,,0,,0,0,0,0.0,,,0.74,,,0.07,0.0,0.0,0.0,0,0.0,,11.0,0,0.4978419927907859
L. Thomas,Bristol Rovers,Bristol Rovers,"RAMF, RWB, LWB",26.0,500000,2026-06-30,29,1839,2,1.81,4,2.65,18.94,47.8,England,England,left,171,67,no,8.27,7.83,68.75,1.71,37.14,0.49,0.69,0.2,2.4,3.39,0.73,5,0.24,0,0.0,2.15,0.1,2,0.1,0.09,1,0.05,13,0.64,23.08,15.385,0.2,1.96,35.0,0.93,26.32,0.93,47.37,0.39,1.86,65.79,6.85,35.71,1.52,1.08,0.1,16.44,1.13,0.93,24.96,74.9,6.51,60.15,6.7,90.51,7.34,72.67,21.09,80.97,1.91,48.72,17.93,24.28,0.13,0.93,0.0,0.05,0.2,50.0,0.64,2.89,50.85,2.45,48.0,0.24,60.0,0.69,0.73,4.31,64.77,0,,0,,0,0,0,0.0,,,0.29,,,0.34,0.0,0.0,0.73,0,0.0,,7.97,0,-0.9872154397188098
O. Turton,Huddersfield Town,Huddersfield Town,"RWB, RB",32.0,500000,2025-06-30,23,1597,1,1.86,0,0.68,17.75,52.7,England,England,right,180,75,no,6.65,5.35,63.16,5.35,58.95,0.11,0.17,0.28,3.16,4.64,0.79,1,0.06,0,0.0,1.41,0.06,1,0.06,0.1,0,0.0,10,0.56,10.0,10.0,0.0,2.14,31.58,0.17,33.33,1.97,31.43,0.06,0.85,73.33,4.0,39.44,0.96,1.01,0.06,26.26,1.13,1.07,35.84,77.67,14.03,63.05,5.86,98.08,9.52,85.8,29.25,88.82,4.56,25.93,19.97,36.34,0.04,0.51,0.0,0.06,0.11,50.0,0.28,5.18,56.52,2.09,51.35,0.39,28.57,0.39,0.73,7.16,65.35,0,,0,,0,0,0,0.0,,,1.3,,,0.0,0.0,0.0,0.0,0,0.0,,10.299999999999999,0,-1.3830170941647362
R. Williams,Leyton Orient,Leyton Orient,"RWB, LAMF, LWB",28.0,450000,2025-06-30,23,1316,2,1.07,0,1.33,19.57,39.25,England,England,left,173,76,no,6.87,5.76,58.97,3.1,33.33,0.22,0.34,0.15,3.25,4.98,1.03,7,0.48,0,0.0,2.88,0.14,2,0.15,0.08,0,0.0,14,1.03,35.71,14.286,0.0,3.17,25.58,1.4,21.05,1.77,29.17,0.44,3.47,48.94,8.42,31.58,1.26,2.29,0.74,24.22,0.89,0.81,31.38,72.94,9.75,59.09,7.68,92.31,8.79,72.27,24.36,83.33,4.21,45.61,19.49,31.45,0.1,1.18,0.07,0.07,0.07,0.0,0.37,3.17,60.47,2.88,43.59,0.22,33.33,0.44,0.74,7.09,63.54,0,,0,,0,0,0,0.0,,,0.52,,,0.37,0.07,0.0,2.88,0,0.0,,12.36,1,0.37069323063208814
L. Bennett,Cambridge United,Cambridge United,"RWB, RB",23.0,450000,2025-06-30,33,2711,0,0.76,2,4.57,21.31,51.87,England,England,right,171,70,no,10.86,7.87,66.67,4.61,38.85,0.33,0.42,0.27,5.28,6.72,0.8,5,0.17,0,0.0,3.35,0.0,0,0.0,0.03,0,0.0,14,0.46,42.86,0.0,0.07,4.05,36.07,0.1,33.33,3.92,35.59,0.73,2.46,68.92,6.08,48.09,0.76,1.26,0.37,16.86,1.2,1.39,27.42,65.01,12.32,54.45,4.81,93.1,5.71,63.37,19.16,76.95,4.42,37.59,22.02,34.7,0.15,0.86,0.0,0.03,0.0,0.0,0.43,4.58,44.2,3.39,48.04,0.17,40.0,0.43,1.49,7.1,70.09,0,,0,,0,0,0,0.0,,,0.37,,,0.27,0.0,0.0,1.03,0,0.0,,11.9,1,-0.324523571858556
D. Ajiboye,Newport County,Peterborough United,"RB, RWB",26.0,400000,2025-06-30,6,239,0,0.0,0,0.1,20.71,32.73,England,"England, Nigeria",right,170,70,yes,4.52,4.9,53.85,4.52,8.33,0.0,0.0,0.0,1.88,3.19,0.75,0,0.0,0,0.0,1.51,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.39,0.0,0.38,0.0,3.01,0.0,0.38,2.64,57.14,8.28,36.36,0.75,1.88,0.0,25.23,1.13,1.51,30.5,80.25,6.4,94.12,9.41,96.0,10.17,62.96,25.61,91.18,2.26,50.0,20.05,25.62,0.04,0.38,0.0,0.0,0.0,0.0,0.0,1.13,100.0,1.88,0.0,0.0,0.0,0.75,0.0,3.77,60.0,0,,0,,0,0,0,0.0,,,0.38,,,0.0,0.0,0.0,0.0,0,0.0,,7.569999999999999,0,0.10450160583036013
E. Ring,Lincoln City,Lincoln City,"RWB, LWB, RAMF",22.0,400000,2028-06-30,18,619,1,1.19,1,0.5,15.41,46.23,Sweden,Sweden,right,187,76,no,5.23,4.8,45.45,3.05,52.38,0.44,0.58,0.0,2.62,3.46,1.02,0,0.0,0,0.0,3.34,0.15,1,0.15,0.17,0,0.0,9,1.31,55.56,11.111,0.15,3.34,21.74,1.16,12.5,2.18,26.67,0.73,3.93,48.15,6.4,43.18,2.62,1.45,0.73,9.31,1.6,0.87,16.43,55.75,4.65,37.5,3.49,95.83,4.94,44.12,11.2,71.43,2.18,26.67,21.6,26.37,0.07,1.02,0.0,0.15,0.0,0.0,0.15,1.02,42.86,2.76,26.32,0.0,0.0,0.44,0.58,3.05,42.86,0,,0,,0,0,0,0.0,,,0.0,,,0.58,0.0,0.0,1.89,0,0.0,,7.329999999999999,0,-0.8057714179525031
G. Jones,Bolton Wanderers B,Bolton Wanderers,"RCB, RWB",29.0,400000,2025-06-30,14,1224,0,0.89,0,0.01,14.78,61.69,Australia,"Australia, Wales",right,178,72,no,7.94,4.78,83.08,5.0,63.24,0.07,0.13,0.15,3.9,6.94,0.51,2,0.15,0,0.0,0.44,0.0,0,0.0,0.07,0,0.0,4,0.29,0.0,0.0,0.0,0.66,33.33,0.0,0.0,0.66,33.33,0.0,0.29,75.0,2.13,27.59,0.88,1.32,0.37,32.06,0.74,0.51,45.37,78.12,23.01,69.97,4.26,93.1,12.35,89.29,38.82,85.42,5.96,35.8,20.94,38.22,0.0,0.15,0.0,0.0,0.07,0.0,0.0,8.9,59.5,0.96,30.77,0.44,16.67,0.15,0.15,8.9,63.64,0,,0,,0,0,0,0.0,,,1.25,,,0.0,0.0,0.0,0.0,0,0.0,,11.18,0,-2.4395497549226595
J. McMillan,Exeter City,Exeter City,"RWB, RB, RCMF",27.0,350000,2026-06-30,34,3250,1,1.32,1,1.06,11.93,55.74,Scotland,Scotland,right,183,77,no,7.53,6.36,72.2,2.25,35.44,0.09,0.12,0.29,2.85,4.14,0.51,4,0.11,1,0.03,0.37,0.03,1,0.03,0.04,0,0.0,10,0.29,20.0,10.0,0.03,0.54,42.11,0.09,33.33,0.43,40.0,0.14,0.31,27.27,1.85,30.77,0.6,0.57,0.09,25.68,0.6,0.2,35.84,83.04,12.53,70.16,7.99,95.71,9.39,89.67,32.24,86.64,3.08,52.78,16.82,31.13,0.03,0.29,0.03,0.03,0.03,0.0,0.14,3.88,61.76,0.91,43.75,0.2,0.0,0.23,0.2,5.79,63.05,0,,0,,0,0,0,0.0,,,0.8,,,0.0,0.0,0.0,0.0,0,0.0,,7.300000000000001,0,0.6896154071508961
T. Darikwa,Lincoln City,Lincoln City,"RWB, RB",33.0,350000,2025-06-30,36,3402,5,2.63,3,2.39,12.91,49.8,England,"England, Zimbabwe",right,188,77,no,8.44,5.69,61.86,2.46,45.16,0.45,0.59,0.19,4.47,5.86,0.63,7,0.19,0,0.0,1.64,0.13,5,0.13,0.07,1,0.03,24,0.63,37.5,20.833,0.08,2.14,34.57,0.13,20.0,2.01,35.53,0.16,1.14,53.49,2.99,38.94,1.3,0.71,0.11,20.95,1.22,0.56,34.15,72.35,14.39,59.93,5.61,92.92,9.18,82.13,26.11,80.85,5.9,48.43,21.52,37.1,0.06,0.5,0.03,0.0,0.05,100.0,0.32,5.69,46.51,2.59,55.1,0.56,52.38,0.77,0.69,8.49,69.78,0,,0,,0,0,0,0.0,,,1.4,,,0.0,0.0,0.0,0.0,0,0.0,,11.850000000000001,0,-0.09467190545041808
J. Diamond,Stockport County,Stockport County,"RAMF, RW, RWB",25.0,350000,2027-06-30,27,1313,2,2.42,0,0.94,25.77,41.3,England,England,right,175,66,no,5.11,4.55,64.62,3.57,19.61,0.0,0.0,0.14,2.17,3.25,1.26,2,0.14,0,0.0,5.67,0.14,2,0.14,0.17,0,0.0,25,1.75,44.0,8.0,0.0,4.27,27.87,0.77,18.18,3.5,30.0,0.35,6.72,55.21,14.57,42.31,2.87,2.8,0.84,16.39,2.1,1.54,24.58,72.65,4.76,61.76,6.86,88.78,8.26,66.95,19.26,84.0,1.19,41.18,18.05,20.84,0.07,0.77,0.0,0.0,0.0,0.0,0.21,1.26,50.0,2.87,36.59,0.07,0.0,0.56,1.33,2.52,72.22,0,,0,,0,0,0,0.0,,,0.49,,,0.28,0.0,0.0,0.07,0,0.0,,8.26,0,1.0600933546144524
I. Niskanen,Exeter City,Exeter City,"RWB, LWB",27.0,325000,2026-06-30,31,2627,1,4.24,1,3.66,15.59,49.67,Finland,Finland,right,177,78,no,8.12,6.3,58.7,3.01,46.59,0.72,1.04,0.21,3.7,5.37,1.16,8,0.27,0,0.0,2.43,0.03,1,0.03,0.15,0,0.0,36,1.23,11.11,2.778,0.03,3.36,27.55,1.23,22.22,2.12,30.65,0.38,2.12,61.29,3.73,49.54,2.02,2.19,0.41,18.4,1.88,0.45,27.61,70.47,8.26,65.15,5.79,89.35,8.15,63.03,22.65,78.97,1.75,37.25,18.12,19.98,0.13,0.93,0.03,0.0,0.07,100.0,0.51,1.85,62.96,3.05,44.94,0.07,100.0,0.65,0.93,5.72,62.87,0,,0,,0,0,0,0.0,,,0.79,,,0.0,0.0,0.0,0.0,0,0.0,,11.089999999999998,0,-0.7686675463071356
U. Godwin-Malife,Burton Albion,Burton Albion,"RWB, RB, RCB",24.0,325000,2027-06-30,33,2978,1,1.12,1,1.58,17.98,54.96,England,England,right,180,79,no,8.16,5.23,69.36,3.11,58.25,0.12,0.14,0.27,4.41,5.29,0.48,4,0.12,0,0.0,2.45,0.03,1,0.03,0.03,0,0.0,12,0.36,41.67,8.333,0.03,1.84,37.7,0.06,0.0,1.78,38.98,0.24,2.48,62.2,6.95,47.83,1.15,2.51,0.94,15.81,1.45,1.12,26.47,74.54,9.31,60.71,5.5,95.05,7.49,79.03,21.94,81.4,2.81,43.01,19.26,26.85,0.05,0.48,0.0,0.0,0.12,50.0,0.3,3.08,66.67,1.99,54.55,0.18,33.33,0.54,0.66,6.13,64.53,0,,0,,0,0,0,0.0,,,0.88,,,0.0,0.0,0.0,0.0,0,0.0,,10.68,0,-0.8474787358597389
B. Cotter,Barnsley,Barnsley,"RB, LWB, RW",26.0,300000,2026-06-30,16,1058,0,0.79,2,2.01,25.09,47.12,Republic of Ireland,Republic of Ireland,right,184,77,no,10.63,7.49,62.5,5.1,48.33,0.34,0.49,0.09,5.61,8.11,0.94,1,0.09,0,0.0,3.74,0.0,0,0.0,0.07,0,0.0,13,1.11,30.77,0.0,0.17,3.74,34.09,0.6,28.57,3.15,35.14,0.6,4.59,46.3,9.53,37.5,1.79,2.3,0.51,16.33,2.55,1.7,26.71,62.74,10.97,47.29,5.78,97.06,6.89,61.73,19.57,73.91,3.49,29.27,23.27,44.28,0.17,1.36,0.0,0.0,0.0,0.0,0.6,4.34,39.22,3.23,44.74,0.43,20.0,0.34,1.19,6.47,55.26,0,,0,,0,0,0,0.0,,,0.85,,,0.0,0.0,0.0,0.0,0,0.0,,12.169999999999998,1,0.39284296892757326
K. Anderson,Birmingham City,Birmingham City,"LAMF, RAMF, LWB",29.0,300000,2026-06-30,27,1736,5,3.02,4,3.3,26.28,41.42,England,"England, Nigeria",right,175,68,no,5.65,5.65,56.88,3.01,25.86,0.47,0.99,0.05,1.97,4.16,1.76,5,0.26,0,0.0,4.61,0.26,5,0.26,0.16,1,0.05,26,1.35,30.77,19.231,0.21,4.15,30.0,1.97,21.05,2.07,37.5,0.26,5.6,50.93,14.05,39.85,4.2,2.38,0.57,25.61,3.21,2.28,36.5,77.98,6.95,70.15,12.24,93.64,9.69,67.38,31.37,85.62,1.09,38.1,16.63,20.43,0.17,1.56,0.05,0.0,0.31,33.33,0.67,1.87,75.0,3.73,43.06,0.36,28.57,1.24,1.14,4.61,74.16,0,,0,,0,0,0,0.0,,,0.41,,,0.05,0.05,0.0,0.05,0,0.0,,10.89,0,1.9211736218887243
M. Pinnock,Northampton Town,Northampton Town,"LWB, RAMF",30.0,300000,2025-06-30,38,3540,2,1.99,5,4.19,15.36,41.06,England,England,left,178,69,no,6.66,4.83,59.47,2.64,37.5,0.31,0.4,0.1,3.48,4.52,0.74,5,0.13,0,0.0,2.19,0.05,2,0.05,0.05,0,0.0,36,0.92,33.33,5.556,0.13,3.23,30.71,1.83,27.78,1.4,34.55,0.51,2.34,38.04,5.52,34.1,1.4,0.81,0.18,14.47,1.73,0.74,23.31,68.27,7.73,55.59,5.59,95.0,5.97,60.85,16.68,81.25,3.58,39.01,20.59,33.05,0.11,1.25,0.05,0.0,0.03,0.0,0.25,3.51,44.93,2.97,42.74,0.23,33.33,0.66,1.09,4.53,74.72,0,,0,,0,0,0,0.0,,,0.05,,,1.37,0.1,50.0,1.73,0,0.0,,8.420000000000002,0,1.3444880625007798
C. O'Keeffe,Barnsley,Barnsley,"RWB, RB",26.0,300000,2027-06-30,35,3038,0,0.55,6,7.2,21.48,46.9,England,"England, Republic of Ireland",right,184,70,no,8.32,7.26,59.18,4.24,41.26,0.12,0.18,0.09,3.91,5.78,1.16,8,0.24,0,0.0,2.81,0.0,0,0.0,0.02,0,0.0,12,0.36,25.0,0.0,0.18,3.05,33.01,0.53,50.0,2.52,29.41,0.41,2.73,60.87,7.44,44.62,1.98,2.49,0.3,24.62,2.67,1.45,35.34,76.53,11.14,64.89,8.38,97.53,9.51,73.21,28.94,85.36,3.41,40.87,19.76,36.94,0.21,1.6,0.0,0.0,0.09,66.67,0.36,4.44,56.67,3.32,41.07,0.65,40.91,0.95,0.89,6.01,75.86,0,,0,,0,0,0,0.0,,,1.07,,,0.68,0.0,0.0,2.9,0,0.0,,12.03,1,0.2739698267554669
